experiment,dataset,variant,seeds,rounds,final_accuracy_mean,final_accuracy_std,last10_accuracy_mean,mean_best_accuracy,cumulative_uplink_mib_mean,final_optimizer_state_mib_mean
2,ravdess,cpmq,"42,123,2024",50,0.5768518518518518,0.042873470010334154,0.5851851851851851,0.600925925925926,151.56116485595703,13.660514831542969
2,ravdess,independent,"42,123,2024",50,0.601851851851852,0.022376011062212143,0.592037037037037,0.6092592592592593,151.56116485595703,13.674415588378906
