dataset,method,seeds,rounds,final_mean,final_std,last10_mean,last10_std,mean_best_accuracy
mnist,fedavg_fp32,"42,123,2024",50,0.9629,0.001283225103661341,0.9507500000000002,0.006287596255061762,0.9629
mnist,bitfl,"42,123,2024",50,0.9332333333333334,0.012995469295959357,0.9310133333333334,0.011599713597996957,0.9445
mnist,signsgd,"42,123,2024",50,0.7135666666666666,0.016049991346484358,0.6982766666666667,0.016889336543774867,0.7135666666666666
mnist,w2_fp32_adam,"42,123,2024",50,0.9122333333333333,0.020139899591496372,0.8749566666666668,0.01439406436309387,0.9184
mnist,cqfl,"42,123,2024",50,0.9159666666666668,0.010589407705606381,0.9092266666666666,0.011476858842422354,0.9159666666666668
