round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,effective_learning_rate,best_train_loss_round,restored_best_after_round,early_stopped,round_seconds
29,0.14168799315195751,1.6678803496890597,0.5638888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,0.0003,0,0,0,57.062597029842436
30,0.11728668166324496,1.6993565559387207,0.5666666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,0.0003,0,0,0,56.792268531396985
31,0.11805853726999725,1.6661092122395833,0.5472222222222223,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,0.0003,0,0,0,56.464251877740026
32,0.11454936158021584,1.6863259315490722,0.5583333333333333,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,0.0003,0,0,0,57.03457232564688
33,0.09002728945137385,1.6953204154968262,0.5666666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,0.0003,0,0,0,56.0220588138327
34,0.0879380605320501,1.701016108194987,0.5694444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,0.0003,0,0,0,56.057059563696384
35,0.07559601425686303,1.7052214993370904,0.575,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,0.0003,0,0,0,56.88809341285378
36,0.07194788815618,1.7786723295847575,0.5666666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,0.0003,0,0,0,56.928076221607625
37,0.07176503099446349,1.823783066537645,0.5722222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,0.0003,0,0,0,57.305155660025775
38,0.08027439927408361,1.8931936979293824,0.5694444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,0.0003,0,0,0,56.54914639890194
39,0.08291831348255715,1.852996826171875,0.5722222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,0.0003,0,0,0,56.69713346473873
40,0.06693839511888869,1.820418463812934,0.5583333333333333,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,0.0003,0,0,0,56.20165010355413
41,0.06058245000895113,1.8078434732225206,0.5638888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,0.0003,0,0,0,55.99217584915459
42,0.04456869467599865,1.788003593020969,0.5666666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,0.0003,0,0,0,56.08518834132701
43,0.041112714645671934,1.8474800480736626,0.5666666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,0.0003,0,0,0,57.244545503519475
44,0.04314296348157394,1.8580943637424046,0.5833333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,0.0003,0,0,0,56.79858642350882
45,0.036626338989556056,1.8369073708852133,0.5666666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,0.0003,0,0,0,57.10649234894663
46,0.03891407536438611,1.862032699584961,0.5833333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,0.0003,0,0,0,56.63954157195985
47,0.17008357132812413,1.8928463882870143,0.5722222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,0.0003,0,0,0,56.72142649348825
48,0.2875843759941157,1.9512792534298367,0.5722222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,0.0003,0,0,0,57.04840863868594
49,0.2002550254247206,2.1751345131132336,0.55,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,0.0003,0,0,0,56.66731490753591
50,0.3834139681969057,2.1170262336730956,0.5361111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,0.0003,0,0,0,56.36667140107602
