round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,effective_learning_rate,best_train_loss_round,restored_best_after_round,early_stopped,round_seconds
33,0.17557136859589567,0.7661771572113037,0.757,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,37.432143369689584
34,0.17250736942417763,0.7438287067413331,0.7687,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,36.28556575253606
35,0.16853235000453423,0.7371728786468505,0.7709,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,35.92417396605015
36,0.16562546788676022,0.7159382791519165,0.7801,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,36.33505964651704
37,0.16236756230549268,0.7001931900024414,0.7867,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,36.48800756596029
38,0.15881024680275005,0.6922673071861267,0.7873,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,35.68878432363272
39,0.15599953957425897,0.6759680196762085,0.7939,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,35.35752888023853
40,0.15328830625027573,0.6673001142501831,0.7945,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,35.42472248338163
41,0.14995022879059736,0.6465282229423523,0.8042,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,36.04564954340458
42,0.147123658847219,0.6345960025310516,0.8087,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,37.16984705813229
43,0.1436464947105075,0.626063604068756,0.81,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,36.93910161219537
44,0.1421605998262142,0.6195950090408325,0.8116,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,37.3813408985734
45,0.14005667844903655,0.6033204561233521,0.8184,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,37.64705171622336
46,0.13648171940488585,0.5957968810081482,0.8211,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,39.50096532329917
47,0.13544113688306725,0.5894319739818573,0.8244,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,37.34672380052507
48,0.13384293304601064,0.5819658549785613,0.8263,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,38.388087240979075
49,0.13077343471813946,0.5722660121917724,0.8276,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,37.97841330990195
50,0.12873531329678373,0.5576412007808685,0.834,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,37.96752957627177
