[mnist/cqfl] round 001/50: loss=2.4692, acc=0.2224, time=48.2s
[mnist/cqfl] round 002/50: loss=1.9328, acc=0.3864, time=47.6s
[mnist/cqfl] round 003/50: loss=1.6820, acc=0.4798, time=48.5s
[mnist/cqfl] round 004/50: loss=1.3263, acc=0.6101, time=49.2s
[mnist/cqfl] round 005/50: loss=1.1340, acc=0.6550, time=49.4s
[mnist/cqfl] round 006/50: loss=0.8870, acc=0.7468, time=49.1s
[mnist/cqfl] round 007/50: loss=0.7563, acc=0.7784, time=49.8s
[mnist/cqfl] round 008/50: loss=0.6203, acc=0.8147, time=49.3s
[mnist/cqfl] round 009/50: loss=0.5328, acc=0.8428, time=49.3s
[mnist/cqfl] round 010/50: loss=0.4870, acc=0.8513, time=49.6s
[mnist/cqfl] round 011/50: loss=0.4499, acc=0.8615, time=49.7s
[mnist/cqfl] round 012/50: loss=0.3964, acc=0.8804, time=49.5s
[mnist/cqfl] round 013/50: loss=0.3994, acc=0.8732, time=50.2s
[mnist/cqfl] round 014/50: loss=0.3602, acc=0.8863, time=48.9s
[mnist/cqfl] round 015/50: loss=0.3363, acc=0.8927, time=50.2s
[mnist/cqfl] round 016/50: loss=0.3348, acc=0.8933, time=50.6s
[mnist/cqfl] round 017/50: loss=0.3175, acc=0.8988, time=49.0s
[mnist/cqfl] round 018/50: loss=0.3100, acc=0.9009, time=50.1s
[mnist/cqfl] round 019/50: loss=0.2888, acc=0.9083, time=49.9s
[mnist/cqfl] round 020/50: loss=0.2751, acc=0.9102, time=49.0s
[mnist/cqfl] round 021/50: loss=0.2699, acc=0.9139, time=48.8s
[mnist/cqfl] round 022/50: loss=0.2568, acc=0.9157, time=50.0s
[mnist/cqfl] round 023/50: loss=0.2690, acc=0.9110, time=48.7s
[mnist/cqfl] round 024/50: loss=0.2463, acc=0.9201, time=49.7s
[mnist/cqfl] round 025/50: loss=0.2477, acc=0.9200, time=47.3s
[mnist/cqfl] round 026/50: loss=0.2307, acc=0.9268, time=46.7s
[mnist/cqfl] round 027/50: loss=0.2411, acc=0.9211, time=47.0s
[mnist/cqfl] round 028/50: loss=0.2231, acc=0.9284, time=46.9s
[mnist/cqfl] round 029/50: loss=0.2229, acc=0.9290, time=46.6s
[mnist/cqfl] round 030/50: loss=0.2266, acc=0.9259, time=45.8s
[mnist/cqfl] round 031/50: loss=0.2105, acc=0.9326, time=46.2s
[mnist/cqfl] round 032/50: loss=0.2187, acc=0.9293, time=45.4s
[mnist/cqfl] round 033/50: loss=0.2016, acc=0.9357, time=47.3s
[mnist/cqfl] round 034/50: loss=0.2107, acc=0.9307, time=47.9s
[mnist/cqfl] round 035/50: loss=0.2009, acc=0.9357, time=48.3s
[mnist/cqfl] round 036/50: loss=0.2121, acc=0.9286, time=47.7s
[mnist/cqfl] round 037/50: loss=0.1946, acc=0.9372, time=47.6s
[mnist/cqfl] round 038/50: loss=0.2160, acc=0.9297, time=47.8s
[mnist/cqfl] round 039/50: loss=0.1878, acc=0.9392, time=47.8s
[mnist/cqfl] round 040/50: loss=0.2100, acc=0.9315, time=47.7s
[mnist/cqfl] round 041/50: loss=0.1910, acc=0.9374, time=47.5s
[mnist/cqfl] round 042/50: loss=0.1821, acc=0.9412, time=48.2s
[mnist/cqfl] round 043/50: loss=0.1905, acc=0.9378, time=47.5s
[mnist/cqfl] round 044/50: loss=0.1873, acc=0.9395, time=46.1s
[mnist/cqfl] round 045/50: loss=0.1787, acc=0.9422, time=46.4s
[mnist/cqfl] round 046/50: loss=0.2027, acc=0.9322, time=46.2s
[mnist/cqfl] round 047/50: loss=0.1753, acc=0.9444, time=45.7s
[mnist/cqfl] round 048/50: loss=0.1992, acc=0.9323, time=45.7s
[mnist/cqfl] round 049/50: loss=0.1687, acc=0.9471, time=45.9s
[mnist/cqfl] round 050/50: loss=0.2104, acc=0.9301, time=45.3s
completed: results/mnist_bitfl_cqfl_tuned_final/mnist/cqfl/seed_123_20260814_153601
