WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1786437317.049073   27080 device_compiler.h:186] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
WARNING:tensorflow:5 out of the last 5 calls to <function _BaseOptimizer._update_step_xla at 0x7fd914114c10> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
WARNING:tensorflow:6 out of the last 6 calls to <function _BaseOptimizer._update_step_xla at 0x7fd914114c10> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
[ravdess/signsgd] round 010/50: loss=1.8829, acc=0.2778, time=9.7s
[ravdess/signsgd] round 011/50: loss=1.8747, acc=0.3083, time=9.7s
[ravdess/signsgd] round 012/50: loss=1.8683, acc=0.3139, time=9.0s
[ravdess/signsgd] round 013/50: loss=1.8630, acc=0.3333, time=9.0s
[ravdess/signsgd] round 014/50: loss=1.8570, acc=0.3361, time=9.5s
[ravdess/signsgd] round 015/50: loss=1.8508, acc=0.3472, time=9.0s
[ravdess/signsgd] round 016/50: loss=1.8445, acc=0.3556, time=9.1s
[ravdess/signsgd] round 017/50: loss=1.8367, acc=0.3611, time=8.8s
[ravdess/signsgd] round 018/50: loss=1.8321, acc=0.3722, time=8.8s
[ravdess/signsgd] round 019/50: loss=1.8284, acc=0.3833, time=9.4s
[ravdess/signsgd] round 020/50: loss=1.8265, acc=0.3861, time=9.3s
[ravdess/signsgd] round 021/50: loss=1.8237, acc=0.3917, time=9.2s
[ravdess/signsgd] round 022/50: loss=1.8211, acc=0.3917, time=9.5s
[ravdess/signsgd] round 023/50: loss=1.8183, acc=0.3917, time=9.0s
[ravdess/signsgd] round 024/50: loss=1.8142, acc=0.3944, time=9.1s
[ravdess/signsgd] round 025/50: loss=1.8142, acc=0.3972, time=8.8s
[ravdess/signsgd] round 026/50: loss=1.8127, acc=0.3944, time=8.5s
[ravdess/signsgd] round 027/50: loss=1.8092, acc=0.3944, time=8.5s
[ravdess/signsgd] round 028/50: loss=1.8094, acc=0.3889, time=8.5s
[ravdess/signsgd] round 029/50: loss=1.8056, acc=0.3889, time=8.3s
[ravdess/signsgd] round 030/50: loss=1.8045, acc=0.3889, time=8.7s
[ravdess/signsgd] round 031/50: loss=1.8010, acc=0.3917, time=8.8s
[ravdess/signsgd] round 032/50: loss=1.7987, acc=0.3917, time=8.8s
[ravdess/signsgd] round 033/50: loss=1.7955, acc=0.3944, time=8.8s
[ravdess/signsgd] round 034/50: loss=1.7931, acc=0.3972, time=8.9s
[ravdess/signsgd] round 035/50: loss=1.7890, acc=0.3889, time=8.9s
[ravdess/signsgd] round 036/50: loss=1.7854, acc=0.3889, time=8.6s
[ravdess/signsgd] round 037/50: loss=1.7874, acc=0.3944, time=8.7s
[ravdess/signsgd] round 038/50: loss=1.7820, acc=0.3861, time=9.0s
[ravdess/signsgd] round 039/50: loss=1.7803, acc=0.3861, time=9.0s
[ravdess/signsgd] round 040/50: loss=1.7808, acc=0.3889, time=8.8s
[ravdess/signsgd] round 041/50: loss=1.7773, acc=0.3944, time=8.7s
[ravdess/signsgd] round 042/50: loss=1.7752, acc=0.4000, time=8.7s
[ravdess/signsgd] round 043/50: loss=1.7696, acc=0.4028, time=8.4s
[ravdess/signsgd] round 044/50: loss=1.7680, acc=0.3917, time=8.7s
[ravdess/signsgd] round 045/50: loss=1.7682, acc=0.3917, time=8.4s
[ravdess/signsgd] round 046/50: loss=1.7665, acc=0.4000, time=8.4s
[ravdess/signsgd] round 047/50: loss=1.7626, acc=0.3972, time=9.0s
[ravdess/signsgd] round 048/50: loss=1.7604, acc=0.3917, time=8.4s
[ravdess/signsgd] round 049/50: loss=1.7589, acc=0.3917, time=8.6s
[ravdess/signsgd] round 050/50: loss=1.7583, acc=0.3889, time=9.1s
completed: results/experiment1_final/ravdess/signsgd/seed_2024_20260811_164304
[ravdess/w2_fp32_adam] round 001/50: loss=7.3633, acc=0.2278, time=14.6s
[ravdess/w2_fp32_adam] round 002/50: loss=3.1062, acc=0.3917, time=12.2s
[ravdess/w2_fp32_adam] round 003/50: loss=1.8871, acc=0.4583, time=11.6s
[ravdess/w2_fp32_adam] round 004/50: loss=1.9859, acc=0.4556, time=11.6s
[ravdess/w2_fp32_adam] round 005/50: loss=1.6060, acc=0.5139, time=11.9s
[ravdess/w2_fp32_adam] round 006/50: loss=1.6677, acc=0.5083, time=12.1s
[ravdess/w2_fp32_adam] round 007/50: loss=1.6951, acc=0.5167, time=12.2s
[ravdess/w2_fp32_adam] round 008/50: loss=1.6814, acc=0.4833, time=12.5s
[ravdess/w2_fp32_adam] round 009/50: loss=1.5849, acc=0.5250, time=12.2s
[ravdess/w2_fp32_adam] round 010/50: loss=1.6494, acc=0.5333, time=12.3s
[ravdess/w2_fp32_adam] round 011/50: loss=1.6177, acc=0.5722, time=11.8s
[ravdess/w2_fp32_adam] round 012/50: loss=1.6845, acc=0.5583, time=11.5s
[ravdess/w2_fp32_adam] round 013/50: loss=1.6297, acc=0.5639, time=11.9s
[ravdess/w2_fp32_adam] round 014/50: loss=1.7573, acc=0.5667, time=11.9s
[ravdess/w2_fp32_adam] round 015/50: loss=1.8158, acc=0.5528, time=11.7s
[ravdess/w2_fp32_adam] round 016/50: loss=1.7729, acc=0.5750, time=12.1s
[ravdess/w2_fp32_adam] round 017/50: loss=1.7585, acc=0.5806, time=12.5s
[ravdess/w2_fp32_adam] round 018/50: loss=1.7652, acc=0.5611, time=11.9s
[ravdess/w2_fp32_adam] round 019/50: loss=1.8021, acc=0.5806, time=12.7s
[ravdess/w2_fp32_adam] round 020/50: loss=1.9057, acc=0.5556, time=11.9s
[ravdess/w2_fp32_adam] round 021/50: loss=1.8514, acc=0.5806, time=11.5s
[ravdess/w2_fp32_adam] round 022/50: loss=1.9171, acc=0.5722, time=11.5s
[ravdess/w2_fp32_adam] round 023/50: loss=1.9217, acc=0.5639, time=12.0s
[ravdess/w2_fp32_adam] round 024/50: loss=1.9258, acc=0.5667, time=12.3s
[ravdess/w2_fp32_adam] round 025/50: loss=1.9436, acc=0.5667, time=11.8s
[ravdess/w2_fp32_adam] round 026/50: loss=1.8964, acc=0.5833, time=11.9s
[ravdess/w2_fp32_adam] round 027/50: loss=1.9214, acc=0.5778, time=12.0s
[ravdess/w2_fp32_adam] round 028/50: loss=1.9359, acc=0.5889, time=12.0s
[ravdess/w2_fp32_adam] round 029/50: loss=1.9537, acc=0.5806, time=12.8s
[ravdess/w2_fp32_adam] round 030/50: loss=1.9629, acc=0.5806, time=11.7s
[ravdess/w2_fp32_adam] round 031/50: loss=1.9506, acc=0.5861, time=12.2s
[ravdess/w2_fp32_adam] round 032/50: loss=1.9768, acc=0.5833, time=11.9s
[ravdess/w2_fp32_adam] round 033/50: loss=1.9973, acc=0.5722, time=12.1s
[ravdess/w2_fp32_adam] round 034/50: loss=2.0349, acc=0.5722, time=11.6s
[ravdess/w2_fp32_adam] round 035/50: loss=2.0620, acc=0.5611, time=11.5s
[ravdess/w2_fp32_adam] round 036/50: loss=2.0564, acc=0.5694, time=11.8s
[ravdess/w2_fp32_adam] round 037/50: loss=2.2221, acc=0.5472, time=12.1s
[ravdess/w2_fp32_adam] round 038/50: loss=2.0756, acc=0.5389, time=12.0s
[ravdess/w2_fp32_adam] round 039/50: loss=2.5979, acc=0.4444, time=11.9s
[ravdess/w2_fp32_adam] round 040/50: loss=3.3958, acc=0.4472, time=11.7s
[ravdess/w2_fp32_adam] round 041/50: loss=3.3707, acc=0.5028, time=11.7s
[ravdess/w2_fp32_adam] round 042/50: loss=2.7813, acc=0.5556, time=11.4s
[ravdess/w2_fp32_adam] round 043/50: loss=2.8923, acc=0.5250, time=11.5s
[ravdess/w2_fp32_adam] round 044/50: loss=2.6563, acc=0.5528, time=11.4s
[ravdess/w2_fp32_adam] round 045/50: loss=2.5909, acc=0.5528, time=11.7s
[ravdess/w2_fp32_adam] round 046/50: loss=2.5971, acc=0.5500, time=12.4s
[ravdess/w2_fp32_adam] round 047/50: loss=2.6150, acc=0.5500, time=11.9s
[ravdess/w2_fp32_adam] round 048/50: loss=2.6748, acc=0.5528, time=11.9s
[ravdess/w2_fp32_adam] round 049/50: loss=2.6631, acc=0.5583, time=11.8s
[ravdess/w2_fp32_adam] round 050/50: loss=2.6560, acc=0.5694, time=11.6s
completed: results/experiment1_final/ravdess/w2_fp32_adam/seed_2024_20260811_165043
[ravdess/cqfl] round 001/50: loss=7.3924, acc=0.2056, time=70.1s
[ravdess/cqfl] round 002/50: loss=2.6167, acc=0.3417, time=72.7s
[ravdess/cqfl] round 003/50: loss=1.9907, acc=0.4528, time=70.4s
[ravdess/cqfl] round 004/50: loss=1.9486, acc=0.4611, time=71.4s
[ravdess/cqfl] round 005/50: loss=1.8515, acc=0.4722, time=70.6s
[ravdess/cqfl] round 006/50: loss=1.7912, acc=0.4694, time=69.9s
[ravdess/cqfl] round 007/50: loss=1.6430, acc=0.5056, time=69.2s
[ravdess/cqfl] round 008/50: loss=1.5785, acc=0.5111, time=67.7s
[ravdess/cqfl] round 009/50: loss=1.6538, acc=0.5222, time=69.2s
[ravdess/cqfl] round 010/50: loss=1.6767, acc=0.5417, time=69.0s
[ravdess/cqfl] round 011/50: loss=1.7504, acc=0.5583, time=69.7s
[ravdess/cqfl] round 012/50: loss=1.7384, acc=0.5417, time=67.1s
[ravdess/cqfl] round 013/50: loss=1.7574, acc=0.5361, time=70.2s
[ravdess/cqfl] round 014/50: loss=1.7810, acc=0.5444, time=68.8s
[ravdess/cqfl] round 015/50: loss=1.8618, acc=0.5333, time=71.1s
[ravdess/cqfl] round 016/50: loss=1.8658, acc=0.5556, time=70.4s
[ravdess/cqfl] round 017/50: loss=1.7604, acc=0.5778, time=71.2s
[ravdess/cqfl] round 018/50: loss=1.8270, acc=0.5694, time=69.5s
[ravdess/cqfl] round 019/50: loss=1.8461, acc=0.5722, time=71.1s
[ravdess/cqfl] round 020/50: loss=1.9869, acc=0.5417, time=69.9s
[ravdess/cqfl] round 021/50: loss=1.9062, acc=0.5639, time=67.7s
[ravdess/cqfl] round 022/50: loss=1.9445, acc=0.5556, time=66.8s
[ravdess/cqfl] round 023/50: loss=2.0031, acc=0.5556, time=67.1s
[ravdess/cqfl] round 024/50: loss=1.9866, acc=0.5667, time=69.2s
[ravdess/cqfl] round 025/50: loss=2.0095, acc=0.5611, time=68.1s
[ravdess/cqfl] round 026/50: loss=1.9429, acc=0.5972, time=68.7s
[ravdess/cqfl] round 027/50: loss=1.9748, acc=0.5722, time=67.3s
[ravdess/cqfl] round 028/50: loss=1.9870, acc=0.5944, time=67.7s
[ravdess/cqfl] round 029/50: loss=2.0361, acc=0.5889, time=70.6s
[ravdess/cqfl] round 030/50: loss=2.0168, acc=0.5861, time=66.9s
[ravdess/cqfl] round 031/50: loss=2.0358, acc=0.5861, time=69.1s
[ravdess/cqfl] round 032/50: loss=2.0404, acc=0.5833, time=66.3s
[ravdess/cqfl] round 033/50: loss=2.0718, acc=0.5778, time=68.8s
[ravdess/cqfl] round 034/50: loss=2.1045, acc=0.5861, time=66.2s
[ravdess/cqfl] round 035/50: loss=2.0924, acc=0.5694, time=68.9s
