WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1786426635.526112   13957 device_compiler.h:186] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
WARNING:tensorflow:5 out of the last 5 calls to <function _BaseOptimizer._update_step_xla at 0x7f15d41f4af0> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
WARNING:tensorflow:6 out of the last 6 calls to <function _BaseOptimizer._update_step_xla at 0x7f15d41f4af0> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
[ravdess/signsgd] round 010/50: loss=1.8792, acc=0.3083, time=9.3s
[ravdess/signsgd] round 011/50: loss=1.8605, acc=0.3194, time=9.2s
[ravdess/signsgd] round 012/50: loss=1.8450, acc=0.3194, time=9.0s
[ravdess/signsgd] round 013/50: loss=1.8294, acc=0.3194, time=9.8s
[ravdess/signsgd] round 014/50: loss=1.8153, acc=0.3333, time=10.2s
[ravdess/signsgd] round 015/50: loss=1.8041, acc=0.3250, time=9.9s
[ravdess/signsgd] round 016/50: loss=1.7944, acc=0.3194, time=10.4s
[ravdess/signsgd] round 017/50: loss=1.7811, acc=0.3167, time=9.6s
[ravdess/signsgd] round 018/50: loss=1.7684, acc=0.3222, time=9.6s
[ravdess/signsgd] round 019/50: loss=1.7610, acc=0.3361, time=9.6s
[ravdess/signsgd] round 020/50: loss=1.7523, acc=0.3333, time=9.7s
[ravdess/signsgd] round 021/50: loss=1.7480, acc=0.3361, time=9.6s
[ravdess/signsgd] round 022/50: loss=1.7405, acc=0.3417, time=9.2s
[ravdess/signsgd] round 023/50: loss=1.7390, acc=0.3389, time=9.4s
[ravdess/signsgd] round 024/50: loss=1.7334, acc=0.3500, time=9.5s
[ravdess/signsgd] round 025/50: loss=1.7296, acc=0.3528, time=9.3s
[ravdess/signsgd] round 026/50: loss=1.7294, acc=0.3472, time=9.3s
[ravdess/signsgd] round 027/50: loss=1.7284, acc=0.3444, time=9.3s
[ravdess/signsgd] round 028/50: loss=1.7233, acc=0.3472, time=9.7s
[ravdess/signsgd] round 029/50: loss=1.7183, acc=0.3472, time=9.4s
[ravdess/signsgd] round 030/50: loss=1.7148, acc=0.3528, time=9.4s
[ravdess/signsgd] round 031/50: loss=1.7128, acc=0.3583, time=9.7s
[ravdess/signsgd] round 032/50: loss=1.7145, acc=0.3500, time=9.4s
[ravdess/signsgd] round 033/50: loss=1.7151, acc=0.3500, time=9.4s
[ravdess/signsgd] round 034/50: loss=1.7121, acc=0.3528, time=9.8s
[ravdess/signsgd] round 035/50: loss=1.7094, acc=0.3500, time=9.0s
[ravdess/signsgd] round 036/50: loss=1.7039, acc=0.3528, time=9.3s
[ravdess/signsgd] round 037/50: loss=1.6996, acc=0.3667, time=9.1s
[ravdess/signsgd] round 038/50: loss=1.7003, acc=0.3750, time=8.9s
[ravdess/signsgd] round 039/50: loss=1.6985, acc=0.3750, time=9.2s
[ravdess/signsgd] round 040/50: loss=1.6953, acc=0.3722, time=9.2s
[ravdess/signsgd] round 041/50: loss=1.6891, acc=0.3722, time=9.0s
[ravdess/signsgd] round 042/50: loss=1.6868, acc=0.3722, time=9.4s
[ravdess/signsgd] round 043/50: loss=1.6854, acc=0.3750, time=9.0s
[ravdess/signsgd] round 044/50: loss=1.6817, acc=0.3722, time=9.3s
[ravdess/signsgd] round 045/50: loss=1.6804, acc=0.3722, time=9.3s
[ravdess/signsgd] round 046/50: loss=1.6751, acc=0.3667, time=9.0s
[ravdess/signsgd] round 047/50: loss=1.6745, acc=0.3750, time=9.4s
[ravdess/signsgd] round 048/50: loss=1.6716, acc=0.3833, time=9.4s
[ravdess/signsgd] round 049/50: loss=1.6702, acc=0.3806, time=8.9s
[ravdess/signsgd] round 050/50: loss=1.6669, acc=0.3722, time=9.9s
completed: results/experiment1_final/ravdess/signsgd/seed_42_20260811_134525
[ravdess/w2_fp32_adam] round 001/50: loss=6.6215, acc=0.2472, time=15.5s
[ravdess/w2_fp32_adam] round 002/50: loss=2.1691, acc=0.4250, time=13.9s
