round,train_loss,test_loss,test_accuracy,uplink_bytes,downlink_bytes,optimizer_state_bytes
1,26.04884421825409,790.2865447998047,0.16796875,50623960,50625672,13528900
2,11.459843263030052,255.70823287963867,0.1796875,50623960,50625672,13528900
3,6.745191864669323,120.18516492843628,0.1953125,50623960,50625672,13528900
4,5.3958809822797775,70.66550397872925,0.19140625,50623960,50625672,13528900
5,3.371279515326023,50.622618436813354,0.171875,50623960,50625672,13528900
