dataset,method,seeds,rounds,final_mean,final_std,last10_mean,last10_std,mean_best_accuracy
dronerf,fedavg_fp32,"42,123,2024",50,0.6244444444444445,0.006096615805496941,0.6307407407407407,0.005339420394658227,0.6482962962962963
dronerf,bitfl,"42,123,2024",50,0.5009629629629629,0.002870788500011273,0.496162962962963,0.005594539764043874,0.5020740740740741
dronerf,signsgd,"42,123,2024",50,0.4639259259259259,0.004903457529906779,0.46224444444444446,0.004769484619861434,0.46474074074074073
dronerf,w2_fp32_adam,"42,123,2024",50,0.5798518518518518,0.013549280069354457,0.5838,0.009539642218791665,0.5906666666666668
dronerf,cqfl,"42,123,2024",50,0.597111111111111,0.004579431560318175,0.5937555555555555,0.006940048979322187,0.5981481481481482
