round,train_loss,test_loss,test_accuracy,uplink_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,2.580858146443086,2.070268514421251,0.1388888888888889,1596946,50985024,0,9.153224733890966
2,2.144913704956279,2.047630590862698,0.17777777777777778,1596946,50985024,0,9.147958307061344
3,1.9252542607924519,2.020870825979445,0.20555555555555555,1596946,50985024,0,9.130787099944428
4,1.791466385126114,1.990825276904636,0.23333333333333334,1596946,50985024,0,8.825417376938276
5,1.722922212937299,1.9580027209387885,0.2722222222222222,1596946,50985024,0,8.720049908035435
6,1.6675606983549454,1.9259104569753012,0.2861111111111111,1596946,50985024,0,8.966757362009957
7,1.616088355288786,1.8995218303468493,0.2916666666666667,1596946,50985024,0,8.214096614043228
8,1.5819084907279297,1.8769713560740153,0.2972222222222222,1596946,50985024,0,8.52412389498204
9,1.5361031626953798,1.85819870101081,0.2916666666666667,1596946,50985024,0,8.669183815014549
10,1.5029903948307037,1.8447077618704901,0.3055555555555556,1596946,50985024,0,8.98098801705055
11,1.4758634935407078,1.830479802025689,0.3138888888888889,1596946,50985024,0,8.98131389694754
12,1.456672291545307,1.8235032876332602,0.325,1596946,50985024,0,9.018462519044988
13,1.4236974470755634,1.8173830217785305,0.3277777777777778,1596946,50985024,0,8.431161485961638
14,1.4023439182954676,1.813386779361301,0.325,1596946,50985024,0,8.517297110985965
15,1.3716426211244919,1.8114963213602702,0.3333333333333333,1596946,50985024,0,8.55805335205514
16,1.3510704654104568,1.808666393491957,0.3472222222222222,1596946,50985024,0,8.902424989966676
17,1.3314566664835987,1.806401350763109,0.3611111111111111,1596946,50985024,0,8.954182008979842
18,1.3216703323756946,1.8089897102779813,0.36666666666666664,1596946,50985024,0,8.89559540594928
19,1.2978598492987015,1.806099984380934,0.36944444444444446,1596946,50985024,0,8.640453212079592
20,1.2803793961510939,1.7983026425043742,0.37222222222222223,1596946,50985024,0,8.521902580047026
21,1.2632627522244173,1.7988149642944335,0.36944444444444446,1596946,50985024,0,9.049097098992206
22,1.2537971086361828,1.7896922561857436,0.36944444444444446,1596946,50985024,0,9.203276122105308
23,1.232572822009816,1.783990576532152,0.37222222222222223,1596946,50985024,0,8.255652396008372
24,1.2173363969606512,1.7747869226667616,0.37222222222222223,1596946,50985024,0,8.697459709946997
25,1.1983618192812977,1.771260839038425,0.38333333333333336,1596946,50985024,0,9.038983514998108
26,1.187553882598877,1.7639893690745037,0.39444444444444443,1596946,50985024,0,8.70015806297306
27,1.1678308187162174,1.7592621750301785,0.4027777777777778,1596946,50985024,0,9.161134267924353
28,1.1572062022545757,1.7555931833055285,0.40555555555555556,1596946,50985024,0,8.698536438983865
29,1.146508523646523,1.749040757285224,0.4027777777777778,1596946,50985024,0,8.976698313024826
30,1.1234135627746582,1.7453768465254043,0.4027777777777778,1596946,50985024,0,8.853883464005776
31,1.115258012624348,1.745316031244066,0.3972222222222222,1596946,50985024,0,8.57055487704929
32,1.1082126980318743,1.7471299277411567,0.39444444444444443,1596946,50985024,0,8.69956739502959
33,1.0947195256457611,1.7447695705625745,0.39444444444444443,1596946,50985024,0,9.01176328503061
34,1.0851177783573376,1.741893180211385,0.3861111111111111,1596946,50985024,0,8.710482663009316
35,1.0686647523851955,1.7399362537595962,0.3972222222222222,1596946,50985024,0,8.49252110591624
36,1.0467129805508781,1.7387665960523817,0.3972222222222222,1596946,50985024,0,8.517457832000218
37,1.0470076790627312,1.7355546421474881,0.4027777777777778,1596946,50985024,0,8.88166930503212
38,1.0305239496862186,1.73287283844418,0.4,1596946,50985024,0,8.640532384975813
39,1.014835000038147,1.7294282250934176,0.39444444444444443,1596946,50985024,0,8.58235636597965
40,1.007937795975629,1.7271764596303305,0.4027777777777778,1596946,50985024,0,8.858912828029133
41,0.9936539697296479,1.7274473667144776,0.4027777777777778,1596946,50985024,0,8.917655871016905
42,0.9800198980990578,1.7253348880343966,0.4083333333333333,1596946,50985024,0,8.634571193018928
43,0.9744349376243704,1.726533137427436,0.4111111111111111,1596946,50985024,0,8.677679390995763
44,0.9685329470564337,1.7277630514568754,0.41388888888888886,1596946,50985024,0,8.671608782955445
45,0.9534785309258629,1.7311388757493762,0.4027777777777778,1596946,50985024,0,8.281864156015217
46,0.9463576578042087,1.7282790263493857,0.4083333333333333,1596946,50985024,0,9.186509427963756
47,0.9350040844258141,1.7306551059087119,0.4111111111111111,1596946,50985024,0,9.118665977031924
48,0.9239155343350243,1.7289824114905463,0.4111111111111111,1596946,50985024,0,8.971252546063624
49,0.9109273824621649,1.7316580322053698,0.4111111111111111,1596946,50985024,0,8.517616324941628
50,0.896081245120834,1.7314556042353313,0.4083333333333333,1596946,50985024,0,9.126351207029074
