[ravdess/fedavg_fp32] round 001/50: loss=1.9129, acc=0.2722, time=13.9s
[ravdess/fedavg_fp32] round 002/50: loss=1.8684, acc=0.3361, time=11.1s
[ravdess/fedavg_fp32] round 003/50: loss=1.8624, acc=0.3444, time=11.0s
[ravdess/fedavg_fp32] round 004/50: loss=1.8681, acc=0.3306, time=11.2s
[ravdess/fedavg_fp32] round 005/50: loss=1.8523, acc=0.2833, time=11.0s
[ravdess/fedavg_fp32] round 006/50: loss=1.8318, acc=0.3139, time=11.8s
[ravdess/fedavg_fp32] round 007/50: loss=1.8110, acc=0.2889, time=10.9s
[ravdess/fedavg_fp32] round 008/50: loss=1.7790, acc=0.3111, time=11.0s
[ravdess/fedavg_fp32] round 009/50: loss=1.7400, acc=0.3056, time=11.0s
[ravdess/fedavg_fp32] round 010/50: loss=1.6808, acc=0.3139, time=11.0s
[ravdess/fedavg_fp32] round 011/50: loss=1.6307, acc=0.3694, time=11.0s
[ravdess/fedavg_fp32] round 012/50: loss=1.5666, acc=0.3972, time=11.0s
[ravdess/fedavg_fp32] round 013/50: loss=1.4687, acc=0.4444, time=10.8s
[ravdess/fedavg_fp32] round 014/50: loss=1.4075, acc=0.4694, time=11.0s
[ravdess/fedavg_fp32] round 015/50: loss=1.3793, acc=0.4833, time=10.9s
[ravdess/fedavg_fp32] round 016/50: loss=1.2948, acc=0.5250, time=11.0s
[ravdess/fedavg_fp32] round 017/50: loss=1.2928, acc=0.5528, time=10.9s
[ravdess/fedavg_fp32] round 018/50: loss=1.2885, acc=0.5694, time=11.1s
[ravdess/fedavg_fp32] round 019/50: loss=1.3377, acc=0.5694, time=11.1s
[ravdess/fedavg_fp32] round 020/50: loss=1.3588, acc=0.5833, time=11.0s
[ravdess/fedavg_fp32] round 021/50: loss=1.4139, acc=0.5750, time=10.9s
[ravdess/fedavg_fp32] round 022/50: loss=1.4351, acc=0.5750, time=11.0s
[ravdess/fedavg_fp32] round 023/50: loss=1.4837, acc=0.5694, time=11.0s
[ravdess/fedavg_fp32] round 024/50: loss=1.5012, acc=0.5750, time=11.1s
[ravdess/fedavg_fp32] round 025/50: loss=1.5517, acc=0.5833, time=10.7s
[ravdess/fedavg_fp32] round 026/50: loss=1.5742, acc=0.5806, time=12.0s
[ravdess/fedavg_fp32] round 027/50: loss=1.5927, acc=0.5806, time=10.7s
[ravdess/fedavg_fp32] round 028/50: loss=1.6082, acc=0.5806, time=11.1s
[ravdess/fedavg_fp32] round 029/50: loss=1.6181, acc=0.5722, time=11.3s
[ravdess/fedavg_fp32] round 030/50: loss=1.6333, acc=0.5639, time=11.0s
[ravdess/fedavg_fp32] round 031/50: loss=1.6366, acc=0.5778, time=10.9s
[ravdess/fedavg_fp32] round 032/50: loss=1.6461, acc=0.5722, time=11.1s
[ravdess/fedavg_fp32] round 033/50: loss=1.6762, acc=0.5722, time=11.1s
[ravdess/fedavg_fp32] round 034/50: loss=1.6522, acc=0.5694, time=11.1s
[ravdess/fedavg_fp32] round 035/50: loss=1.6789, acc=0.5778, time=11.0s
[ravdess/fedavg_fp32] round 036/50: loss=1.6731, acc=0.5778, time=11.0s
[ravdess/fedavg_fp32] round 037/50: loss=1.6759, acc=0.5778, time=11.0s
[ravdess/fedavg_fp32] round 038/50: loss=1.6745, acc=0.5750, time=10.9s
[ravdess/fedavg_fp32] round 039/50: loss=1.6783, acc=0.5750, time=10.8s
[ravdess/fedavg_fp32] round 040/50: loss=1.6830, acc=0.5694, time=11.0s
[ravdess/fedavg_fp32] round 041/50: loss=1.6952, acc=0.5750, time=11.2s
[ravdess/fedavg_fp32] round 042/50: loss=1.6976, acc=0.5694, time=11.1s
[ravdess/fedavg_fp32] round 043/50: loss=1.7499, acc=0.5806, time=10.9s
[ravdess/fedavg_fp32] round 044/50: loss=1.7089, acc=0.5722, time=11.0s
[ravdess/fedavg_fp32] round 045/50: loss=1.7102, acc=0.5778, time=11.0s
[ravdess/fedavg_fp32] round 046/50: loss=1.6992, acc=0.5667, time=11.0s
[ravdess/fedavg_fp32] round 047/50: loss=1.7172, acc=0.5833, time=11.0s
[ravdess/fedavg_fp32] round 048/50: loss=1.7095, acc=0.5750, time=10.9s
[ravdess/fedavg_fp32] round 049/50: loss=1.7219, acc=0.5694, time=11.1s
[ravdess/fedavg_fp32] round 050/50: loss=1.7318, acc=0.5750, time=11.0s
completed: results/experiment1_five_v1_final/ravdess/fedavg_fp32/seed_2024_20260812_124808
