[dronerf/cqfl] round 081/100: loss=0.8982, acc=0.5573, time=15.1s
[dronerf/cqfl] round 082/100: loss=0.8947, acc=0.5616, time=14.9s
[dronerf/cqfl] round 083/100: loss=0.8928, acc=0.5611, time=15.1s
[dronerf/cqfl] round 084/100: loss=0.8919, acc=0.5509, time=15.3s
[dronerf/cqfl] round 085/100: loss=0.8952, acc=0.5542, time=15.2s
[dronerf/cqfl] round 086/100: loss=0.9032, acc=0.5467, time=15.3s
[dronerf/cqfl] round 087/100: loss=0.8980, acc=0.5538, time=15.3s
[dronerf/cqfl] round 088/100: loss=0.8890, acc=0.5649, time=15.1s
[dronerf/cqfl] round 089/100: loss=0.8882, acc=0.5687, time=14.7s
[dronerf/cqfl] round 090/100: loss=0.8889, acc=0.5604, time=15.1s
[dronerf/cqfl] round 091/100: loss=0.8924, acc=0.5560, time=15.1s
[dronerf/cqfl] round 092/100: loss=0.8947, acc=0.5589, time=15.2s
[dronerf/cqfl] round 093/100: loss=0.8857, acc=0.5636, time=15.3s
[dronerf/cqfl] round 094/100: loss=0.8945, acc=0.5587, time=15.2s
[dronerf/cqfl] round 095/100: loss=0.8971, acc=0.5516, time=15.0s
[dronerf/cqfl] round 096/100: loss=0.8948, acc=0.5687, time=14.8s
[dronerf/cqfl] round 097/100: loss=0.8953, acc=0.5629, time=15.1s
[dronerf/cqfl] round 098/100: loss=0.8858, acc=0.5596, time=15.2s
[dronerf/cqfl] round 099/100: loss=0.8916, acc=0.5611, time=15.2s
[dronerf/cqfl] round 100/100: loss=0.8864, acc=0.5602, time=15.2s
completed: results/experiment1_five_v1_final/dronerf/cqfl/seed_2024_20260812_223708
