[dronerf/fedavg_fp32] round 001/100: loss=1.2832, acc=0.3649, time=12.6s
[dronerf/fedavg_fp32] round 002/100: loss=1.2464, acc=0.3849, time=10.9s
[dronerf/fedavg_fp32] round 003/100: loss=1.2334, acc=0.3929, time=11.3s
[dronerf/fedavg_fp32] round 004/100: loss=1.2244, acc=0.3969, time=11.6s
[dronerf/fedavg_fp32] round 005/100: loss=1.2333, acc=0.3978, time=11.5s
[dronerf/fedavg_fp32] round 006/100: loss=1.2602, acc=0.3920, time=11.6s
[dronerf/fedavg_fp32] round 007/100: loss=1.2819, acc=0.3960, time=12.7s
[dronerf/fedavg_fp32] round 008/100: loss=1.2684, acc=0.4020, time=12.2s
[dronerf/fedavg_fp32] round 009/100: loss=1.2642, acc=0.4062, time=11.5s
[dronerf/fedavg_fp32] round 010/100: loss=1.2256, acc=0.4164, time=11.2s
[dronerf/fedavg_fp32] round 011/100: loss=1.1864, acc=0.4229, time=11.9s
[dronerf/fedavg_fp32] round 012/100: loss=1.1416, acc=0.4311, time=11.3s
[dronerf/fedavg_fp32] round 013/100: loss=1.0859, acc=0.4349, time=11.5s
[dronerf/fedavg_fp32] round 014/100: loss=0.9830, acc=0.4440, time=11.5s
[dronerf/fedavg_fp32] round 015/100: loss=0.9415, acc=0.4698, time=11.6s
[dronerf/fedavg_fp32] round 016/100: loss=0.9270, acc=0.4747, time=11.6s
[dronerf/fedavg_fp32] round 017/100: loss=0.8512, acc=0.5360, time=11.5s
[dronerf/fedavg_fp32] round 018/100: loss=0.7987, acc=0.6144, time=11.3s
[dronerf/fedavg_fp32] round 019/100: loss=0.7630, acc=0.6367, time=11.2s
[dronerf/fedavg_fp32] round 020/100: loss=0.7432, acc=0.6391, time=11.2s
[dronerf/fedavg_fp32] round 021/100: loss=0.7341, acc=0.6371, time=11.6s
[dronerf/fedavg_fp32] round 022/100: loss=0.7177, acc=0.6491, time=11.6s
[dronerf/fedavg_fp32] round 023/100: loss=0.7187, acc=0.6469, time=11.6s
[dronerf/fedavg_fp32] round 024/100: loss=0.7111, acc=0.6531, time=11.5s
[dronerf/fedavg_fp32] round 025/100: loss=0.7149, acc=0.6551, time=11.6s
[dronerf/fedavg_fp32] round 026/100: loss=0.7153, acc=0.6484, time=11.7s
[dronerf/fedavg_fp32] round 027/100: loss=0.7112, acc=0.6542, time=11.2s
[dronerf/fedavg_fp32] round 028/100: loss=0.7175, acc=0.6438, time=11.0s
[dronerf/fedavg_fp32] round 029/100: loss=0.7284, acc=0.6331, time=11.1s
[dronerf/fedavg_fp32] round 030/100: loss=0.7179, acc=0.6496, time=11.5s
[dronerf/fedavg_fp32] round 031/100: loss=0.7208, acc=0.6469, time=11.6s
[dronerf/fedavg_fp32] round 032/100: loss=0.7307, acc=0.6360, time=11.7s
[dronerf/fedavg_fp32] round 033/100: loss=0.7261, acc=0.6404, time=11.6s
[dronerf/fedavg_fp32] round 034/100: loss=0.7325, acc=0.6356, time=11.6s
[dronerf/fedavg_fp32] round 035/100: loss=0.7315, acc=0.6447, time=11.6s
[dronerf/fedavg_fp32] round 036/100: loss=0.7380, acc=0.6342, time=11.3s
[dronerf/fedavg_fp32] round 037/100: loss=0.7340, acc=0.6402, time=11.0s
[dronerf/fedavg_fp32] round 038/100: loss=0.7395, acc=0.6498, time=11.1s
[dronerf/fedavg_fp32] round 039/100: loss=0.7390, acc=0.6369, time=11.3s
[dronerf/fedavg_fp32] round 040/100: loss=0.7427, acc=0.6422, time=11.6s
[dronerf/fedavg_fp32] round 041/100: loss=0.7475, acc=0.6384, time=11.5s
[dronerf/fedavg_fp32] round 042/100: loss=0.7608, acc=0.6247, time=11.6s
[dronerf/fedavg_fp32] round 043/100: loss=0.7578, acc=0.6320, time=11.6s
[dronerf/fedavg_fp32] round 044/100: loss=0.7655, acc=0.6256, time=11.4s
[dronerf/fedavg_fp32] round 045/100: loss=0.7636, acc=0.6316, time=11.4s
[dronerf/fedavg_fp32] round 046/100: loss=0.7665, acc=0.6251, time=11.0s
[dronerf/fedavg_fp32] round 047/100: loss=0.7775, acc=0.6227, time=10.9s
[dronerf/fedavg_fp32] round 048/100: loss=0.7727, acc=0.6258, time=11.0s
[dronerf/fedavg_fp32] round 049/100: loss=0.7780, acc=0.6220, time=11.4s
[dronerf/fedavg_fp32] round 050/100: loss=0.7987, acc=0.6167, time=11.5s
[dronerf/fedavg_fp32] round 051/100: loss=0.7815, acc=0.6233, time=11.6s
[dronerf/fedavg_fp32] round 052/100: loss=0.7924, acc=0.6158, time=11.6s
[dronerf/fedavg_fp32] round 053/100: loss=0.7969, acc=0.6162, time=11.5s
[dronerf/fedavg_fp32] round 054/100: loss=0.8031, acc=0.6207, time=11.6s
[dronerf/fedavg_fp32] round 055/100: loss=0.7888, acc=0.6342, time=11.3s
[dronerf/fedavg_fp32] round 056/100: loss=0.7989, acc=0.6276, time=11.0s
[dronerf/fedavg_fp32] round 057/100: loss=0.8088, acc=0.6173, time=11.2s
[dronerf/fedavg_fp32] round 058/100: loss=0.8181, acc=0.6151, time=11.7s
[dronerf/fedavg_fp32] round 059/100: loss=0.8046, acc=0.6322, time=11.7s
[dronerf/fedavg_fp32] round 060/100: loss=0.8123, acc=0.6253, time=11.6s
[dronerf/fedavg_fp32] round 061/100: loss=0.8140, acc=0.6264, time=11.7s
[dronerf/fedavg_fp32] round 062/100: loss=0.8138, acc=0.6276, time=11.7s
[dronerf/fedavg_fp32] round 063/100: loss=0.8261, acc=0.6198, time=11.4s
[dronerf/fedavg_fp32] round 064/100: loss=0.8272, acc=0.6242, time=11.2s
[dronerf/fedavg_fp32] round 065/100: loss=0.8303, acc=0.6296, time=11.3s
[dronerf/fedavg_fp32] round 066/100: loss=0.8444, acc=0.6093, time=11.6s
[dronerf/fedavg_fp32] round 067/100: loss=0.8654, acc=0.6031, time=11.6s
[dronerf/fedavg_fp32] round 068/100: loss=0.8436, acc=0.6176, time=11.6s
[dronerf/fedavg_fp32] round 069/100: loss=0.8468, acc=0.6160, time=11.6s
[dronerf/fedavg_fp32] round 070/100: loss=0.8544, acc=0.6176, time=11.6s
[dronerf/fedavg_fp32] round 071/100: loss=0.8880, acc=0.6049, time=11.1s
[dronerf/fedavg_fp32] round 072/100: loss=0.8748, acc=0.6100, time=11.3s
[dronerf/fedavg_fp32] round 073/100: loss=0.8740, acc=0.6080, time=11.4s
[dronerf/fedavg_fp32] round 074/100: loss=0.8830, acc=0.6069, time=11.4s
[dronerf/fedavg_fp32] round 075/100: loss=0.8769, acc=0.6167, time=11.4s
[dronerf/fedavg_fp32] round 076/100: loss=0.8832, acc=0.6113, time=11.6s
[dronerf/fedavg_fp32] round 077/100: loss=0.8946, acc=0.6182, time=11.5s
[dronerf/fedavg_fp32] round 078/100: loss=0.8917, acc=0.6202, time=11.4s
[dronerf/fedavg_fp32] round 079/100: loss=0.9038, acc=0.6136, time=11.0s
