[dronerf/bitfl] round 081/100: loss=0.7535, acc=0.6520, time=11.5s
[dronerf/bitfl] round 082/100: loss=0.7650, acc=0.6513, time=11.4s
[dronerf/bitfl] round 083/100: loss=0.7641, acc=0.6333, time=11.4s
[dronerf/bitfl] round 084/100: loss=0.8247, acc=0.6027, time=11.4s
[dronerf/bitfl] round 085/100: loss=0.7508, acc=0.6438, time=11.2s
[dronerf/bitfl] round 086/100: loss=1.1678, acc=0.5140, time=11.2s
[dronerf/bitfl] round 087/100: loss=0.9024, acc=0.5582, time=11.3s
[dronerf/bitfl] round 088/100: loss=0.7745, acc=0.6422, time=11.7s
[dronerf/bitfl] round 089/100: loss=0.8025, acc=0.6438, time=11.5s
[dronerf/bitfl] round 090/100: loss=0.8040, acc=0.6460, time=11.5s
[dronerf/bitfl] round 091/100: loss=0.7742, acc=0.6502, time=11.5s
[dronerf/bitfl] round 092/100: loss=0.7752, acc=0.6480, time=11.6s
[dronerf/bitfl] round 093/100: loss=0.8721, acc=0.5818, time=11.5s
[dronerf/bitfl] round 094/100: loss=0.8460, acc=0.5913, time=12.0s
[dronerf/bitfl] round 095/100: loss=0.7770, acc=0.6507, time=12.2s
[dronerf/bitfl] round 096/100: loss=0.8260, acc=0.6471, time=11.6s
[dronerf/bitfl] round 097/100: loss=0.8509, acc=0.6400, time=11.5s
[dronerf/bitfl] round 098/100: loss=0.8699, acc=0.6371, time=11.4s
[dronerf/bitfl] round 099/100: loss=0.7726, acc=0.6522, time=11.4s
[dronerf/bitfl] round 100/100: loss=0.8190, acc=0.6424, time=11.4s
completed: results/experiment1_five_v1_final/dronerf/bitfl/seed_2024_20260812_192747
