round,train_loss,test_loss,test_accuracy,uplink_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,1.9882984774954178,6.621532461378309,0.24722222222222223,50985024,50625672,101962896,15.475206230999902
2,1.1742601973168991,2.169149586889479,0.425,50985024,50625672,101962896,13.927605938981287
3,0.820290142998976,1.819570944044325,0.4777777777777778,50985024,50625672,101962896,14.069364591035992
4,0.6481902130386408,1.5866448508368598,0.5111111111111111,50985024,50625672,101962896,14.878710673074238
5,0.4673880996072994,1.5110859910647074,0.5333333333333333,50985024,50625672,101962896,12.08550719206687
6,0.3210431690163472,1.449834156036377,0.5222222222222223,50985024,50625672,101962896,12.392350059002638
7,0.22321916968726058,1.4316523906257417,0.5083333333333333,50985024,50625672,101962896,12.499865785939619
8,0.16690169258371873,1.3689515458212957,0.5694444444444444,50985024,50625672,101962896,13.300274592009373
9,0.12693312606664703,1.3708996865484449,0.5583333333333333,50985024,50625672,101962896,12.236881333985366
10,0.09373152913416133,1.3379528025786083,0.5722222222222222,50985024,50625672,101962896,13.199133664020337
11,0.07648770245449509,1.4150828440984091,0.5611111111111111,50985024,50625672,101962896,12.338651614030823
12,0.06032965357607121,1.3527652753723993,0.5861111111111111,50985024,50625672,101962896,13.001106588053517
13,0.046679925851469094,1.3624737282594046,0.575,50985024,50625672,101962896,12.588942163041793
14,0.03599023753229309,1.3872190707259708,0.5722222222222222,50985024,50625672,101962896,12.471048942999914
15,0.028548239104566164,1.4033439815044404,0.575,50985024,50625672,101962896,12.226465575979091
16,0.028567509379867902,1.4404349750942653,0.575,50985024,50625672,101962896,13.126701314002275
17,0.02207151217632653,1.4514919956525167,0.5666666666666667,50985024,50625672,101962896,12.187604165053926
18,0.016835098736919463,1.490891280439165,0.5583333333333333,50985024,50625672,101962896,12.548617787077092
19,0.017527873143348294,1.4678994986746046,0.5722222222222222,50985024,50625672,101962896,12.240360757918097
20,0.011957137116148849,1.4625992251767053,0.5722222222222222,50985024,50625672,101962896,12.68689108302351
21,0.010824448831365718,1.4758497575918834,0.5722222222222222,50985024,50625672,101962896,12.259348949999548
22,0.00977708470514592,1.5457222872310215,0.5666666666666667,50985024,50625672,101962896,12.561669199960306
23,0.016188259762523503,1.5675662689738803,0.5583333333333333,50985024,50625672,101962896,12.03322131105233
24,0.011907018914558542,1.5368973645899031,0.5666666666666667,50985024,50625672,101962896,12.58492859301623
25,0.01628967398980475,1.601310533285141,0.5694444444444444,50985024,50625672,101962896,12.024113942985423
26,0.01583734610432978,1.5134132673343024,0.5861111111111111,50985024,50625672,101962896,12.939296748954803
27,0.005439247239658418,1.5331032004621294,0.5972222222222222,50985024,50625672,101962896,12.29934156499803
28,0.007947659935726895,1.6408010125160217,0.5638888888888889,50985024,50625672,101962896,12.445939486962743
29,0.010597419294593718,1.5686607599258422,0.5666666666666667,50985024,50625672,101962896,11.960171282058582
30,0.0049021938614126105,1.5466682314872742,0.6,50985024,50625672,101962896,12.879128361004405
31,0.0037374459369697004,1.5514612257480622,0.5944444444444444,50985024,50625672,101962896,12.213406822062097
32,0.0031299969041891232,1.5667443801959355,0.5916666666666667,50985024,50625672,101962896,12.718927708920091
33,0.003060855631060001,1.58599242038197,0.5861111111111111,50985024,50625672,101962896,12.01811317494139
34,0.0028530070297111865,1.5966538349787394,0.5777777777777777,50985024,50625672,101962896,12.700081938994117
35,0.0028006660316296965,1.598954807387458,0.5833333333333334,50985024,50625672,101962896,12.06933589396067
36,0.002134571523129125,1.5998870419131386,0.5833333333333334,50985024,50625672,101962896,12.739183319034055
37,0.002836238532461935,1.6247384144200219,0.5805555555555556,50985024,50625672,101962896,12.190740677993745
38,0.002165291926490574,1.6090083963341184,0.5888888888888889,50985024,50625672,101962896,12.44515132997185
39,0.001996347268071558,1.6023723483085632,0.5916666666666667,50985024,50625672,101962896,11.989574471022934
40,0.0021513038231847424,1.6021307362450494,0.5916666666666667,50985024,50625672,101962896,12.425015451037325
41,0.0016589006752918281,1.6438557333416408,0.5888888888888889,50985024,50625672,101962896,11.717588485917076
42,0.0016109484466891016,1.6458806839254168,0.6027777777777777,50985024,50625672,101962896,12.335459658992477
43,0.001726314387644165,1.6404047078556485,0.5861111111111111,50985024,50625672,101962896,12.345133939990774
44,0.0018597418245596654,1.6327775922086505,0.5944444444444444,50985024,50625672,101962896,12.343551817000844
45,0.0014430996495374368,1.6483097420798407,0.6027777777777777,50985024,50625672,101962896,12.067898452049121
46,0.0015463670740700763,1.655496464172999,0.5888888888888889,50985024,50625672,101962896,12.707894625957124
47,0.0011462995164894143,1.6743533631165823,0.5916666666666667,50985024,50625672,101962896,12.142609628033824
48,0.0012078103554813424,1.6755070534017351,0.5916666666666667,50985024,50625672,101962896,12.402710539055988
49,0.0010519617993422262,1.6886997805701363,0.5916666666666667,50985024,50625672,101962896,12.05288216797635
50,0.0010027671650919621,1.6761094073454539,0.5833333333333334,50985024,50625672,101962896,12.6725460360758
